country_region,last_update,lat,long,confirmed,deaths,recovered,active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
Lebanon,5/8/2020 4:32,33.8547,35.8623,784,25,220,539,11.4864356,,,3.18877551,422,LBN
Liberia,5/8/2020 4:32,6.428055,-9.429499,189,20,79,90,3.736893439,,,10.58201058,430,LBR
Libya,5/8/2020 4:32,26.3351,17.228331,64,3,24,37,0.931412121,,,4.6875,434,LBY
Liechtenstein,5/8/2020 4:32,47.14,9.55,82,1,55,26,215.0142906,,,1.219512195,438,LIE
Lithuania,5/8/2020 4:32,55.1694,23.8813,1433,49,739,645,52.63948637,,,3.41939986,440,LTU
Luxembourg,5/8/2020 4:32,49.8153,6.1296,3859,100,3505,254,616.477309,,,2.591344908,442,LUX
MS Zaandam,5/8/2020 4:32,,,9,2,0,7,,,,22.22222222,8888,
Madagascar,5/8/2020 4:32,-18.766947,46.869107,193,0,101,92,0.696976879,,,0,450,MDG
Malawi,5/8/2020 4:32,-13.254308,34.301525,43,3,14,26,0.224778365,,,6.976744186,454,MWI
Malaysia,5/8/2020 4:32,4.210484,101.975766,6467,107,4776,1584,19.98084533,,,1.654553889,458,MYS
Maldives,5/8/2020 4:32,3.2028,73.2207,648,3,20,625,119.8796763,,,0.462962963,462,MDV
Mali,5/8/2020 4:32,17.570692,-3.996166,650,32,271,347,3.209744349,,,4.923076923,466,MLI
Malta,5/8/2020 4:32,35.9375,14.3754,486,5,413,68,110.0695522,,,1.028806584,470,MLT
Mauritania,5/8/2020 4:32,21.0079,-10.9408,8,1,6,1,0.172055591,,,12.5,478,MRT
Mauritius,5/8/2020 4:32,-20.348404,57.552152,332,10,320,2,26.10541082,,,3.012048193,480,MUS
Mexico,5/8/2020 4:32,23.6345,-102.5528,29616,2961,17781,8874,22.97011373,,,9.997974068,484,MEX
Moldova,5/8/2020 4:32,47.4116,28.3699,4605,145,1747,2713,114.1557322,,,3.148751357,498,MDA
Monaco,5/8/2020 4:32,43.7333,7.4167,95,4,82,9,242.0752217,,,4.210526316,492,MCO
Mongolia,5/8/2020 4:32,46.8625,103.8467,42,0,13,29,1.281154943,,,0,496,MNG
Montenegro,5/8/2020 4:32,42.708678,19.37439,324,8,265,51,51.58726368,,,2.469135802,499,MNE
Morocco,5/8/2020 4:32,31.7917,-7.0926,5548,183,2179,3186,15.03092963,,,3.298485941,504,MAR
Mozambique,5/8/2020 4:32,-18.665695,35.529562,81,0,24,57,0.259154928,,,0,508,MOZ
Namibia,5/8/2020 4:32,-22.9576,18.4904,16,0,9,7,0.629694173,,,0,516,NAM
Nepal,5/8/2020 4:32,28.1667,84.25,101,0,22,79,0.346640579,,,0,524,NPL
New Zealand,5/8/2020 4:32,-40.9006,174.886,1490,21,1347,122,30.89854845,,,1.409395973,554,NZL
Nicaragua,5/8/2020 4:32,12.865416,-85.207229,16,5,7,4,0.241525694,,,31.25,558,NIC
