country,iso3,inform_risk,inform_p2p_hazard_and_exposure_dimension,population_density,population_living_in_urban_areas,proportion_of_population_with_basic_handwashing_facilities_on_premises,people_using_at_least_basic_sanitation_services,inform_vulnerability,inform_health_conditions,inform_epidemic_vulnerability,mortality_rate_under_5,prevalence_of_undernourishment,inform_lack_of_coping_capacity,inform_access_to_healthcare,inform_epidemic_lack_of_coping_capacity,physicians_density,current_health_expenditure_per_capita,maternal_mortality_ratio,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,Mortality_Rate,entity,year,total_covid_19_tests,Edu_Idx_2018,HDI Rank (2018),pop2020,area,Density,GrowthRate
Sudan,SDN,6.9,6.2,18.02,34.642,23.44,36.57503,6.8,1.4,5.2,63.20000076,20.1,6.7,5.9,4,4.1,297.86,,Sudan,5/8/20 4:32,12.8628,30.2176,930,52,92,786,2.120901947,5.591397849,,,,0.515,168,43849.26,1886068,23.249,1.0242
Suriname,SUR,3.1,3,3.69,66.06,67.78,84.45758,2.7,1.1,5.4,19.60000038,8.5,5.1,5.5,1.1,12.27,907.6,,Suriname,5/8/20 4:32,3.9193,-56.0278,10,1,9,0,1.704640372,10,,,,0.797,98,586.632,163820,3.581,1.009
Sweden,SWE,1.5,3.7,25,87.431,No data,99.29552,3.1,0.2,6.8,2.799999952,2.4,1.5,0.1,0.9,54,5386.73,,Sweden,5/8/20 4:32,60.1282,18.6435,24623,3040,4971,16612,243.8097011,12.3461804,Sweden,5/3/20,148500,0.744,8,10099.265,450295,22.4281,1.0063
Switzerland,CHE,1.4,3.7,215.52,73.797,No data,99.89037,2.4,0.2,6.2,4.199999809,2.4,0.9,0.4,4.7,42.36,7867.39,,Switzerland,5/8/20 4:32,46.8182,8.2275,30126,1810,25900,2416,348.09162,6.008099316,Switzerland,5/5/20,290365,0.916,2,8654.622,41284,209.6362,1.0074
Syria,SYR,7.3,3.3,92.07,54.162,70.6,91.22287,7.8,0.5,4.6,17,29,5.7,6.3,3.2,12.2,159.72,,Syria,5/8/20 4:32,34.802075,38.996815,45,3,27,15,0.257133204,6.666666667,,,,0.899,154,17500.658,185180,94.5062,1.0252
,,,,,,,,,,,,,,,,,,,Taiwan*,5/8/20 4:32,23.7,121,440,6,347,87,1.847437363,1.363636364,Taiwan,5/5/20,65589,,,23816.775,36193,658.0492,1.0018
Tajikistan,TJK,4.5,4.8,65.57,27.134,72.7,97.02306,3.4,1.4,6.1,33.59999847,5.6,5,4,5,17,208.51,32,Tajikistan,5/8/20 4:32,38.861034,71.276093,461,12,0,449,4.833479806,2.603036876,,,,0.745,125,9537.645,143100,66.6502,1.0232
Tanzania,TZA,5.6,6.6,63.58,33.776,47.95,29.91344,5.9,5.3,6.8,54,30.7,6.2,6.4,2.3,0.4,111.98,398,Tanzania,5/8/20 4:32,-6.369028,34.888822,480,16,167,297,0.803559595,3.333333333,,,,0.718,159,59734.218,945087,63.205,1.0298
Thailand,THA,4.1,3.6,135.9,49.949,90.67,98.75073,3.1,1.3,4.9,9.5,7.8,3.9,4.1,2.5,8.1,635.02,20,Thailand,5/8/20 4:32,15.870032,100.992541,2992,55,2772,165,4.286534302,1.838235294,Thailand,5/6/20,86320,0.545,77,69799.978,513120,136.0305,1.0025
Timor-Leste,TLS,4.5,6,85.27,30.578,28.18,53.51901,4.2,6.4,4.3,47.59999847,24.9,6.2,6.6,4.9,7.2,121.68,215,Timor-Leste,5/8/20 4:32,-8.874217,125.727539,24,0,21,3,1.82033036,0,,,,0.7,131,1318.445,14874,88.6409,1.0196
Togo,TGO,4.6,6.9,145.05,41.702,10.47,16.1321,5.2,5.3,5.6,72.90000153,16.1,7.7,6.3,6,0.49,99.9,368,Togo,5/8/20 4:32,8.6195,0.8248,135,9,85,41,1.630683521,6.666666667,,,,0.626,167,8278.724,56785,145.7907,1.0243
Tonga,TON,3.9,2.7,143.33,23.131,No data,93.44527,4.5,2.1,3.8,16,3.6,4.4,5.5,3.6,5.22,311.43,124,,,,,,,,,,,,,,0.347,105,105.695,747,141.4926,1.0115
Trinidad and Tobago,TTO,2.7,3.2,270.93,53.184,89.44,93.39891,3,0.8,5,26.10000038,5.5,3.3,2.4,3.2,26.7,2180.52,63,Trinidad and Tobago,5/8/20 4:32,10.6918,-61.2225,116,8,103,5,8.28872783,6.896551724,,,,0.572,63,1399.488,5130,272.8047,1.0032
Tunisia,TUN,3.2,4,74.44,68.945,78.69,90.92139,1.8,0.3,4.7,13,4.3,4.7,3.8,4.6,12.72,806.34,62,Tunisia,5/8/20 4:32,33.886917,9.537499,1026,44,600,382,8.681218058,4.288499025,Tunisia,5/4/20,25165,0.568,91,11818.619,163610,72.2365,1.0106
Turkey,TUR,5,4.2,106.96,75.143,No data,97.29724,4.9,0.1,6.8,11.60000038,2.4,3.2,3.3,2.3,17.61,1089.24,16,Turkey,5/8/20 4:32,38.9637,35.2433,133721,3641,82984,47096,158.551671,2.722833362,Turkey,5/6/20,1234724,..,59,84339.067,783562,107.6355,1.0109
Turkmenistan,TKM,2.6,3.1,12.45,51.593,100,98.6992,1.2,0.3,5,47.29999924,5.4,5.8,2.8,4.3,22.25,1116.86,42,,,,,,,,,,,,,,0.856,108,6031.2,488100,12.3565,1.015
Tuvalu,TUV,3.1,4.8,383.6,62.387,No data,84.07847,3.7,7.2,4.1,24.89999962,3.6,5.1,5.5,5,9.17,601.03,No data,,,,,,,,,,,,,,,,38.717,948,40.8407,1.0138
Uganda,UGA,6.5,7.2,213.06,23.774,21.22,18.47232,6.9,5.9,5.3,49,41,7.2,6.5,5.7,0.91,117.11,343,Uganda,5/8/20 4:32,1.373333,32.290275,101,0,55,46,0.220808465,0,Uganda,5/5/20,44094,0.661,159,45741.007,241550,189.3645,1.0332
Ukraine,UKR,4.7,2.6,77.03,69.352,No data,96.22436,3.9,1.1,3.8,8.800000191,3.5,4.8,4.2,5.1,30.07,534.19,24,Ukraine,5/8/20 4:32,48.3794,31.1656,13691,340,2396,10955,31.30533554,2.483383244,Ukraine,5/6/20,144283,0.537,88,43733.762,603500,72.4669,0.9941
United Arab Emirates,ARE,1.9,4.4,135.61,86.522,No data,98.586,1.5,0,4.6,9.100000381,2.6,1.9,1.5,1.1,23.94,2546.19,6,United Arab Emirates,5/8/20 4:32,23.424076,53.847818,16240,165,3572,12503,164.1996279,1.016009852,,,,0.418,35,9890.402,83600,118.3062,1.0123
United Kingdom,GBR,1.8,3.2,274.83,83.398,No data,99.11029,2.2,0.3,5.2,4.300000191,2.4,1.5,1.1,1.3,28.06,4177.81,9,United Kingdom,5/8/20 4:32,55,-3,207977,30689,970,176318,306.3621185,14.75595859,"United Kingdom, tests performed",5/6/20,1448010,0.584,15,67886.011,242900,279.4813,1.0053
,,,,,,,,,,,,,,,,,,,Uruguay,5/8/20 4:32,-32.5228,-55.7658,684,17,492,175,19.69066654,2.485380117,Uruguay,5/6/20,23811,,,,,,
United States of America,USA,3.4,2.8,35.77,82.256,No data,99.97002,2.9,0.1,5.7,6.599999905,2.4,2.1,1.1,1.1,25.95,9869.74,14,US,5/8/20 4:32,40,-100,1256972,75670,195036,1010344,381.5176438,6.020022721,United States,5/5/20,7544328,..,15,331002.651,9372610,35.316,1.0059
Uruguay,URY,1.8,2.9,19.71,95.334,No data,96.59619,2,0.6,5.1,8.199999809,2.4,2.8,1.2,2.1,50.5,1958.9,15,,,,,,,,,,,,,,0.572,57,3473.73,181034,19.1883,1.0035
Uzbekistan,UZB,3.1,3.3,77.47,50.478,No data,100,1.9,0.6,4.2,22.5,6.3,4,3.3,3,23.68,416.9,36,Uzbekistan,5/8/20 4:32,41.377491,64.585262,2298,10,1656,632,6.866014332,0.43516101,,,,0.636,108,33469.203,447400,74.8082,1.0148
Vanuatu,VUT,4.1,4.7,24.01,25.274,25.21,34.06706,4.1,3.7,3.9,26.89999962,7.2,5.7,5.7,6.3,1.71,116.09,78,,,,,,,,,,,,,,0.743,141,307.145,12189,25.1985,1.0242
Venezuela,VEN,4.6,3.3,32.73,88.208,No data,93.93502,3.5,1.2,4.9,30.89999962,21.2,4.5,4.8,2.7,No data,940,95,Venezuela,5/8/20 4:32,6.4238,-66.5897,381,10,185,186,1.339853579,2.624671916,,,,0.687,96,,,,
Viet Nam,VNM,3.8,4.2,308.13,35.919,85.85,83.51505,2.2,1,7.5,20.89999962,9.3,4.4,4.6,2.5,8.2,356.28,54,Vietnam,5/8/20 4:32,14.058324,108.277199,288,0,233,55,0.295874453,0,Vietnam,4/29/20,261004,0.466,118,97338.579,331212,293.886,1.0091
,,,,,,,,,,,,,,,,,,,West Bank and Gaza,5/8/20 4:32,31.9522,35.2332,375,2,176,197,7.350900221,0.533333333,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Western Sahara,5/8/20 4:32,24.2155,-12.8858,6,0,5,1,1.004469891,0,,,,,,597.339,266000,2.2456,1.0255
Yemen,YEM,8.1,6.3,53.98,36.642,49.54,59.053,8.2,1.2,4.5,55.40000153,38.9,7.8,7.4,6.8,3.1,144.5,385,Yemen,5/8/20 4:32,15.552727,48.516388,25,5,1,19,0.083819576,20,,,,0.627,177,29825.964,527968,56.492,1.0228
Zambia,ZMB,4.3,6.8,23.34,43.521,13.94,26.37012,5.9,7.4,6.2,60,46.7,6,6.1,4.8,0.91,175.18,224,Zambia,5/8/20 4:32,-13.133897,27.849332,153,4,103,46,0.832247423,2.614379085,,,,0.852,143,18383.955,752612,24.4269,1.0293
Zimbabwe,ZWE,5.1,4.9,37.32,32.209,36.79,36.2214,5.4,6.1,6.8,50.29999924,51.3,5.9,6.6,4.4,0.76,185.05,443,Zimbabwe,5/8/20 4:32,-19.015438,29.154857,34,4,5,25,0.228757095,11.76470588,Zimbabwe,5/5/20,14821,0.633,150,14862.924,390757,38.0362,1.0148
