country,iso3,inform_risk,inform_p2p_hazard_and_exposure_dimension,population_density,population_living_in_urban_areas,proportion_of_population_with_basic_handwashing_facilities_on_premises,people_using_at_least_basic_sanitation_services,inform_vulnerability,inform_health_conditions,inform_epidemic_vulnerability,mortality_rate_under_5,prevalence_of_undernourishment,inform_lack_of_coping_capacity,inform_access_to_healthcare,inform_epidemic_lack_of_coping_capacity,physicians_density,current_health_expenditure_per_capita,maternal_mortality_ratio,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,Mortality_Rate,entity,year,total_covid_19_tests,Edu_Idx_2018,HDI Rank (2018),pop2020,area,Density,GrowthRate
China,CHN,5.4,4.1,44.75,80.778,65.39,89.62536,6,0.6,4.6,14.69999981,4.8,3.8,3.6,2.7,20.84,829.8,64,China,5/8/20 4:32,30.5928,114.3055,83976,4637,78977,362,5.978316727,5.521815757,,,,0.476,85,1439323.776,9706961,148.2775,1.0039
Colombia,COL,4,6.4,447.24,28.965,15.57,35.85662,5.4,2.7,4.6,69,30.9,7,6.1,6.5,1.7,115.85,335,Colombia,5/8/20 4:32,4.5709,-74.2973,9456,407,2300,6749,18.58385228,4.304145516,Colombia,5/5/20,127105,0.539,79,50882.891,1141748,44.5658,1.0108
Comoros,COM,5.5,5.9,15.36,66.916,47.96,20.17288,6,5.7,4.5,47.5,40.3,7.4,7.3,7.1,1.16,263.29,442,Comoros,5/8/20 4:32,-11.6455,43.3333,8,1,0,7,0.919968491,12.5,,,,0.495,156,869.601,1862,467.0252,1.022
Congo,COG,7,7.6,37.08,44.46,4.47,20.45598,7.3,5.5,5,91.09999847,59.6,8.1,7.7,6.2,0.9,34.49,693,Congo (Brazzaville),5/8/20 4:32,-4.2634,15.2832,274,10,33,231,4.965484446,3.649635036,,,,0.716,138,,,,
Congo DR,COD,3,3.9,97.91,79.34,83.84,97.81836,2.9,0.3,4.6,9,4.8,2.6,3.5,2,11.5,1248.55,25,Congo (Kinshasa),5/8/20 4:32,-4.322447,15.307045,897,36,119,742,1.001547497,4.013377926,,,,0.796,179,,,,
Costa Rica,CRI,6,6.6,78.83,50.779,19.35,32.13491,5.9,5.2,6.6,88.80000305,19,7,6.9,4.8,2.33,162.64,645,Costa Rica,5/8/20 4:32,9.7489,-83.7534,765,6,445,314,15.01733177,0.784313725,Costa Rica,5/5/20,9892,0.791,68,5094.118,51100,99.6892,1.0092
,,,,,,,,,,,,,,,,,,,Cote d'Ivoire,5/8/20 4:32,7.54,-5.5471,1571,20,742,809,5.955658586,1.273074475,,,,,,,,,
Croatia,HRV,2.1,2.4,73.08,56.947,No data,96.53844,1.1,0.1,5.3,4.599999905,2.4,3.1,2,3,29.96,1705.21,8,Croatia,5/8/20 4:32,45.1,15.2,2125,86,1641,398,51.76275946,4.047058824,Croatia,5/6/20,41053,0.811,46,4105.267,56594,72.5389,0.9939
Cuba,CUB,3.5,3.6,109,77.037,85.2,92.81024,3.2,0.4,5.9,5.400000095,2.4,3.1,0.6,1.7,81.9,2457.67,39,Cuba,5/8/20 4:32,21.521757,-77.781167,1729,73,1031,625,15.26492997,4.222093696,Cuba,5/5/20,59648,0.892,72,11326.616,109884,103.0779,0.9994
Cyprus,CYP,3,2.9,128.71,66.81,No data,99.15231,4.2,0.1,5,2.700000048,5.6,2.6,2.4,1.6,19.51,2270.83,7,Cyprus,5/8/20 4:32,35.1264,33.4299,889,15,400,474,73.63166443,1.687289089,,,,0.441,31,1207.359,9251,130.5112,1.0073
Czech Republic,CZE,1.2,2.8,137.6,73.792,No data,99.1341,0.9,0.1,5.2,3.299999952,2.4,2.1,0.7,1.4,43.14,2484.63,4,Czechia,5/8/20 4:32,49.8175,15.473,8031,270,4371,3390,74.9931226,3.361972357,Czech Republic,5/5/20,278519,0.92,26,10708.981,78865,135.7888,1.0018
Denmark,DNK,1.1,3.9,138.07,87.874,No data,99.59723,1.8,0.1,5.7,4.300000191,2.4,1.3,0.2,1.2,44.57,5092.98,6,Denmark,5/8/20 4:32,56,10,10281,514,7907,1860,177.4972321,4.999513666,Denmark,5/6/20,270680,0.313,11,5792.202,43094,134.4085,1.0035
,,,,,,,,,,,,,,,,,,,Diamond Princess,5/8/20 4:32,,,712,13,645,54,,1.825842697,,,,,,,,,
Djibouti,DJI,5.2,5,41.37,77.777,No data,63.60536,5.6,2.4,5.9,61.70000076,18.9,6.4,6.6,6.6,2.2,122.08,229,Djibouti,5/8/20 4:32,11.8251,42.5903,1133,3,799,331,114.6758812,0.26478376,,,,0.657,171,988,23200,42.5862,1.0148
Dominica,DMA,3.5,3.9,95.5,70.483,No data,77.89276,3.7,0.6,3.8,34,6.2,4.1,5.9,3.8,10.82,580.66,No data,Dominica,5/8/20 4:32,15.415,-61.371,16,0,14,2,22.22500035,0,,,,0.714,98,71.986,751,95.8535,1.0025
Dominican Republic,DOM,3.8,4.7,219.98,81.074,55.18,83.89321,2.4,1.3,5.5,29.89999962,9.5,4.4,4.6,4.6,15.6,936.82,92,Dominican Republic,5/8/20 4:32,18.7357,-70.1627,9095,373,2064,6658,83.84108119,4.10115448,,,,0.608,89,10847.91,48671,222.8824,1.0101
Ecuador,ECU,4,3.9,68.79,63.821,80.63,87.98872,3.6,0.7,5.1,14.5,7.9,4,3.9,3.1,20.5,942.89,64,Ecuador,5/8/20 4:32,-1.8312,-78.1834,30298,1654,3433,25211,171.7275801,5.459106212,Ecuador,5/4/20,66160,0.441,85,17643.054,276841,63.7299,1.0155
Egypt,EGY,5.1,3.6,98.87,42.704,89.83,94.19302,3.9,0.2,7.3,22.10000038,4.5,4.6,4.4,2.7,7.9,516.34,33,Egypt,5/8/20 4:32,26.820553,30.802498,7981,482,1887,5612,7.798941281,6.039343441,,,,0.269,116,102334.404,1002450,102.0843,1.0194
El Salvador,SLV,4,4.3,309.88,72.023,90.65,87.43357,2.7,1.2,5.6,14.5,9,4.6,4.3,2.9,15.69,599.55,54,El Salvador,5/8/20 4:32,13.7942,-88.8965,695,15,252,428,10.71505493,2.158273381,El Salvador,5/5/20,33628,0.881,124,6486.205,21041,308.2651,1.0051
Equatorial Guinea,GNQ,4.1,6.7,46.67,72.143,24.64,66.31279,3.2,6.4,4.7,89.59999847,10.5,7.4,7.5,7.3,4,838.74,342,Equatorial Guinea,5/8/20 4:32,1.6508,10.2679,439,4,13,422,31.2904272,0.911161731,,,,0.541,144,1402.985,28051,50.0155,1.0347
Eritrea,ERI,5.2,6.4,34.62,No data,No data,11.93997,4.8,1.6,6.5,43.09999847,20.6,7.9,5.6,6.6,No data,55.33,501,Eritrea,5/8/20 4:32,15.1794,39.7823,39,0,30,9,1.099698372,0,,,,0.335,182,3546.421,117600,30.1566,1.0141
Estonia,EST,0.9,2.3,30.39,68.88,No data,99.14656,0.9,0.8,2.8,2.700000048,2.9,1.9,1.5,2.5,34.65,1987.72,9,Estonia,5/8/20 4:32,58.5953,25.0136,1720,56,273,1391,129.6607186,3.255813953,Estonia,5/5/20,58955,0.764,30,1326.535,45227,29.3306,1.0007
Eswatini,SWZ,3.9,5.1,66.06,23.799,24.1,58.35198,4.5,4.9,7.5,70.40000153,20.6,5.4,5.9,4.7,0.8,663.25,389,Eswatini,5/8/20 4:32,-26.5225,31.4659,153,2,12,139,13.18779069,1.307189542,,,,0.915,138,,,,
Ethiopia,ETH,6.9,7.4,109.22,20.763,7.96,7.31633,6.6,3.1,5.5,58.5,20.6,6.8,7.1,1.9,1,69.52,353,Ethiopia,5/8/20 4:32,9.145,40.4897,191,4,93,94,0.166139568,2.094240838,Ethiopia,5/6/20,26517,0.811,173,114963.588,1104300,104.1054,1.0257
Fiji,FJI,2.9,3.9,48.36,56.248,No data,95.07218,3.4,3.7,5.7,25.29999924,3.7,3.1,4.4,0.9,8.37,313.17,30,Fiji,5/8/20 4:32,-17.7134,178.065,18,0,14,4,2.007933569,0,,,,0.386,98,896.445,18272,49.0611,1.0073
Finland,FIN,0.6,2.3,18.16,85.382,No data,99.44784,1.6,0.1,4.8,2.299999952,2.4,1.4,0.6,1.6,38.08,4112.05,3,Finland,5/8/20 4:32,61.9241,25.7482,5673,255,3500,1918,102.3874523,4.494976203,Finland,5/5/20,108112,0.856,12,5540.72,338424,16.3721,1.0015
France,FRA,2.3,2.8,122.34,80.444,No data,98.65001,2.8,0.3,3.4,4.199999809,2.4,1.9,0.9,5.5,32.35,4782.29,8,France,5/8/20 4:32,46.2276,2.2137,174918,25990,55191,93737,267.9770011,14.85839079,France,4/28/20,724574,0.946,26,65273.511,551695,118.3145,1.0022
Gabon,GAB,4.2,5.2,8.22,89.37,No data,47.41328,3.4,6.3,5.7,48.29999924,10.5,6.1,6.2,6.4,3.61,555.63,291,Gabon,5/8/20 4:32,-0.8037,11.6094,504,8,110,386,22.64427639,1.587301587,,,,0.559,115,2225.734,267668,8.3153,1.0245
Gambia,GMB,4.2,7.5,225.31,61.27,7.88,39.23115,5.4,2.3,4.8,63.59999847,10.2,5.6,7.5,3,1.08,74.31,706,Gambia,5/8/20 4:32,13.4432,-15.3101,18,1,9,8,0.744828408,5.555555556,,,,0.833,174,2416.668,10689,226.0893,1.0294
Georgia,GEO,3.9,3.2,65.28,58.632,No data,90.02479,4.8,1,6.8,10.80000019,7.9,3.2,2.5,0.9,50.98,797.18,36,Georgia,5/8/20 4:32,42.3154,43.3569,615,9,275,331,15.4167215,1.463414634,,,,0.755,70,3989.167,69700,57.2334,0.9981
Germany,DEU,2,2.8,237.37,77.312,No data,99.22504,3.4,0.1,5.2,3.700000048,2.4,1.5,0.4,4,42.09,5463.33,6,Germany,5/8/20 4:32,51.1657,10.4515,169430,7392,141700,20338,202.2225141,4.36286372,Germany,5/3/20,2755770,0.511,4,83783.942,357114,234.614,1.0032
Ghana,GHA,3.8,5.9,130.82,56.06,41.05,18.47217,4.3,4.7,4.4,49.29999924,5.5,5.1,5.9,2.4,1.8,189.37,319,Ghana,5/8/20 4:32,7.9465,-1.0232,3091,18,303,2770,9.94756049,0.582335814,Ghana,5/2/20,129461,0.34,142,31072.94,238533,130.2668,1.0215
Greece,GRC,3.1,2.7,83.22,79.058,No data,98.98319,2.8,0.2,4.3,5.300000191,2.4,2.5,0.9,3.6,45.92,2261.16,3,Greece,5/8/20 4:32,39.0742,21.8243,2678,148,1374,1156,25.69304051,5.526512323,Greece,5/6/20,87052,0.402,32,10423.054,131990,78.9685,0.9952
Grenada,GRD,1.8,3.3,327.81,36.272,No data,91.49389,1.6,0.1,5.1,16.70000076,18.1,3.9,4.1,5,14.47,745.1,27,Grenada,5/8/20 4:32,12.1165,-61.679,21,0,13,8,18.66351461,0,,,,0.601,78,112.523,344,327.1017,1.0046
Guatemala,GTM,5.7,4.9,160.95,51.054,76.67,65.06314,5.8,1.1,4.9,27.60000038,15.2,5.5,5.4,5.9,3.55,462.41,88,Guatemala,5/8/20 4:32,15.7835,-90.2308,832,23,90,719,4.644005964,2.764423077,,,,0.445,126,17915.568,108889,164.5306,1.019
Guinea,GIN,5.1,7.1,50.52,36.14,17.45,22.71927,4.4,5.4,5.3,85.69999695,16.5,7.4,9.1,6.6,0.79,107.72,679,Guinea,5/8/20 4:32,9.9456,-9.6966,1927,11,629,1287,14.67319364,0.570835496,,,,0.503,174,13132.795,245857,53.4164,1.0283
Guinea-Bissau,GNB,4.6,6.5,66.65,43.36,6.4,20.538,5.6,5.6,4.1,84.19999695,28,7.9,6.9,3.4,2,97.97,549,Guinea-Bissau,5/8/20 4:32,11.8037,-15.1804,564,2,25,537,28.65856571,0.354609929,,,,0.86,178,1968.001,36125,54.4775,1.0245
Guyana,GUY,3.4,2.3,3.96,26.606,77.16,85.7631,3.2,4,4.4,31.29999924,8.1,5.3,5,5.9,7.99,332.67,229,Guyana,5/8/20 4:32,4.860416,-58.93018,93,10,27,56,11.82365214,10.75268817,,,,0.816,123,786.552,214969,3.6589,1.0048
Haiti,HTI,6.6,6.7,403.6,55.278,22.86,34.70445,6.3,3.3,4.1,71.69999695,49.3,7.3,7.9,4.2,2.35,95.44,359,Haiti,5/8/20 4:32,18.9712,-72.2852,129,12,16,101,1.131327574,9.302325581,,,,0.918,169,11402.528,27750,410.9019,1.0124
,,,,,,,,,,,,,,,,,,,Holy See,5/8/20 4:32,41.9029,12.4534,12,0,2,10,1483.312732,0,,,,,,,,,
Honduras,HND,5.3,4.5,85.69,57.096,84.17,81.25126,5.4,1.1,4,18.20000076,12.9,5.2,4.9,2,3.14,400.34,129,Honduras,5/8/20 4:32,15.2,-86.2419,1685,105,154,1426,17.01228358,6.231454006,,,,0.625,132,9904.607,112492,88.0472,1.0163
Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hong Kong,4/27/20,154989,0.743,4,7496.981,1104,6790.7437,1.0082
